ID,Sentence,Domain,Language_Level,Vocabulary,Grammar_Focus,Difficulty,Task_Type,Response_Expected,Question,Correct_Answer,Distractors
1472,You should clean the checkout.,Retail,Advanced,"['product', 'checkout', 'inventory']",Modal Verbs,Difficult,Speaking,Clean the checkout.,What is recommended to do with the checkout?,Clean the checkout.,"['Use a different checkout.', 'Do nothing with the checkout.']"
1473,product must be check.,Retail,Advanced,"['customer', 'sales', 'product']",Passive Voice,Difficult,Writing,Check the product.,What must be done with the product?,Check the product.,"['Do nothing with the product.', 'Ignore the product.']"
1474,You should check the irrigation.,Agriculture,Intermediate,"['crop', 'irrigation', 'soil']",Modal Verbs,Moderate,Reading,Check the irrigation.,What is recommended to do with the irrigation?,Check the irrigation.,"['Use a different irrigation.', 'Ignore the irrigation.']"
1475,Please store the software.,IT,Advanced,"['network', 'system', 'software']",Imperative Sentences,Difficult,Listening,Store the software.,What should you do with the software?,Store the software.,"['Ignore the software.', 'Use a different software.']"
1476,"If it is damaged, clean the crop.",Agriculture,Advanced,"['yield', 'harvest', 'crop']",Conditional Sentences,Difficult,Reading,Clean the crop.,What happens if the it is damaged?,Clean the crop.,"['Use a different crop.', 'Ignore the crop.']"
1477,Please store the stored.,Healthcare,Beginner,"['stored', 'temperature', 'medication']",Imperative Sentences,Easy,Reading,Store the stored.,What should you do with the stored?,Store the stored.,"['Use a different stored.', 'Do nothing with the stored.']"
1478,shift must be clean.,Hospitality,Advanced,"['clean', 'shift', 'service']",Passive Voice,Difficult,Speaking,Clean the shift.,What must be done with the shift?,Clean the shift.,"['Ignore the shift.', 'Use a different shift.']"
1479,"If it is damaged, store the brakes.",Automotive,Beginner,"['brakes', 'engine', 'inspection']",Conditional Sentences,Easy,Listening,Store the brakes.,What happens if the it is damaged?,Store the brakes.,"['Use a different brakes.', 'Do nothing with the brakes.']"
1480,You should clean the service.,Hospitality,Advanced,"['clean', 'service', 'hygiene']",Modal Verbs,Difficult,Writing,Clean the service.,What is recommended to do with the service?,Clean the service.,"['Do nothing with the service.', 'Use a different service.']"
1481,the supervisor said to store the equipment.,Construction,Beginner,"['equipment', 'secured', 'tools']",Reported Speech,Easy,Reading,Store the equipment.,What did the supervisor say?,Store the equipment.,"['Use a different equipment.', 'Do nothing with the equipment.']"
1482,Please check the safety.,Construction,Intermediate,"['harness', 'tools', 'safety']",Imperative Sentences,Moderate,Reading,Check the safety.,What should you do with the safety?,Check the safety.,"['Do nothing with the safety.', 'Use a different safety.']"
1483,Please secure the irrigation.,Agriculture,Advanced,"['soil', 'irrigation', 'yield']",Imperative Sentences,Difficult,Reading,Secure the irrigation.,What should you do with the irrigation?,Secure the irrigation.,"['Do nothing with the irrigation.', 'Ignore the irrigation.']"
1484,the supervisor said to clean the temperature.,Healthcare,Advanced,"['nurse', 'temperature', 'patient']",Reported Speech,Difficult,Listening,Clean the temperature.,What did the supervisor say?,Clean the temperature.,"['Ignore the temperature.', 'Do nothing with the temperature.']"
1485,repair must be inspect.,Automotive,Beginner,"['oil', 'repair', 'engine']",Passive Voice,Easy,Listening,Inspect the repair.,What must be done with the repair?,Inspect the repair.,"['Use a different repair.', 'Do nothing with the repair.']"
1486,Please inspect the brakes.,Automotive,Advanced,"['oil', 'engine', 'brakes']",Imperative Sentences,Difficult,Reading,Inspect the brakes.,What should you do with the brakes?,Inspect the brakes.,"['Use a different brakes.', 'Do nothing with the brakes.']"
1487,You should inspect the harness.,Construction,Intermediate,"['harness', 'equipment', 'secured']",Modal Verbs,Moderate,Reading,Inspect the harness.,What is recommended to do with the harness?,Inspect the harness.,"['Use a different harness.', 'Do nothing with the harness.']"
1488,Please check the reboot.,IT,Beginner,"['reboot', 'software', 'network']",Imperative Sentences,Easy,Listening,Check the reboot.,What should you do with the reboot?,Check the reboot.,"['Ignore the reboot.', 'Use a different reboot.']"
1489,sales must be store.,Retail,Beginner,"['inventory', 'sales', 'checkout']",Passive Voice,Easy,Writing,Store the sales.,What must be done with the sales?,Store the sales.,"['Ignore the sales.', 'Use a different sales.']"
1490,shift must be check.,Hospitality,Intermediate,"['clean', 'workstation', 'shift']",Passive Voice,Moderate,Speaking,Check the shift.,What must be done with the shift?,Check the shift.,"['Do nothing with the shift.', 'Use a different shift.']"
1491,harness must be store.,Construction,Advanced,"['safety', 'secured', 'harness']",Passive Voice,Difficult,Reading,Store the harness.,What must be done with the harness?,Store the harness.,"['Use a different harness.', 'Ignore the harness.']"
1492,irrigation must be clean.,Agriculture,Advanced,"['yield', 'irrigation', 'soil']",Passive Voice,Difficult,Reading,Clean the irrigation.,What must be done with the irrigation?,Clean the irrigation.,"['Ignore the irrigation.', 'Use a different irrigation.']"
1493,the supervisor said to store the shift.,Hospitality,Advanced,"['service', 'shift', 'workstation']",Reported Speech,Difficult,Speaking,Store the shift.,What did the supervisor say?,Store the shift.,"['Do nothing with the shift.', 'Use a different shift.']"
1494,Please inspect the tools.,Construction,Intermediate,"['equipment', 'tools', 'harness']",Imperative Sentences,Moderate,Speaking,Inspect the tools.,What should you do with the tools?,Inspect the tools.,"['Do nothing with the tools.', 'Ignore the tools.']"
1495,You should check the network.,IT,Intermediate,"['system', 'reboot', 'network']",Modal Verbs,Moderate,Reading,Check the network.,What is recommended to do with the network?,Check the network.,"['Use a different network.', 'Do nothing with the network.']"
1496,"If it is damaged, check the stored.",Healthcare,Intermediate,"['nurse', 'stored', 'temperature']",Conditional Sentences,Moderate,Listening,Check the stored.,What happens if the it is damaged?,Check the stored.,"['Do nothing with the stored.', 'Ignore the stored.']"
1497,the supervisor said to store the harvest.,Agriculture,Beginner,"['harvest', 'yield', 'soil']",Reported Speech,Easy,Writing,Store the harvest.,What did the supervisor say?,Store the harvest.,"['Do nothing with the harvest.', 'Ignore the harvest.']"
1498,You should secure the service.,Hospitality,Intermediate,"['shift', 'clean', 'service']",Modal Verbs,Moderate,Writing,Secure the service.,What is recommended to do with the service?,Secure the service.,"['Ignore the service.', 'Do nothing with the service.']"
1499,Please inspect the irrigation.,Agriculture,Advanced,"['irrigation', 'soil', 'yield']",Imperative Sentences,Difficult,Writing,Inspect the irrigation.,What should you do with the irrigation?,Inspect the irrigation.,"['Do nothing with the irrigation.', 'Ignore the irrigation.']"
1500,You should check the safety.,Construction,Beginner,"['safety', 'harness', 'secured']",Modal Verbs,Easy,Reading,Check the safety.,What is recommended to do with the safety?,Check the safety.,"['Do nothing with the safety.', 'Ignore the safety.']"
1501,clean must be clean.,Hospitality,Beginner,"['service', 'clean', 'shift']",Passive Voice,Easy,Speaking,Clean the clean.,What must be done with the clean?,Clean the clean.,"['Do nothing with the clean.', 'Use a different clean.']"
1502,Please check the tools.,Construction,Beginner,"['tools', 'harness', 'safety']",Imperative Sentences,Easy,Speaking,Check the tools.,What should you do with the tools?,Check the tools.,"['Ignore the tools.', 'Do nothing with the tools.']"
1503,Please secure the nurse.,Healthcare,Beginner,"['temperature', 'nurse', 'medication']",Imperative Sentences,Easy,Listening,Secure the nurse.,What should you do with the nurse?,Secure the nurse.,"['Ignore the nurse.', 'Do nothing with the nurse.']"
1504,You should check the reboot.,IT,Beginner,"['reboot', 'network', 'software']",Modal Verbs,Easy,Reading,Check the reboot.,What is recommended to do with the reboot?,Check the reboot.,"['Use a different reboot.', 'Do nothing with the reboot.']"
1505,"If it is damaged, store the customer.",Retail,Beginner,"['inventory', 'customer', 'sales']",Conditional Sentences,Easy,Writing,Store the customer.,What happens if the it is damaged?,Store the customer.,"['Do nothing with the customer.', 'Use a different customer.']"
1506,"If it is damaged, secure the irrigation.",Agriculture,Advanced,"['soil', 'irrigation', 'yield']",Conditional Sentences,Difficult,Writing,Secure the irrigation.,What happens if the it is damaged?,Secure the irrigation.,"['Use a different irrigation.', 'Do nothing with the irrigation.']"
1507,You should check the product.,Retail,Beginner,"['checkout', 'product', 'customer']",Modal Verbs,Easy,Writing,Check the product.,What is recommended to do with the product?,Check the product.,"['Use a different product.', 'Ignore the product.']"
1508,nurse must be check.,Healthcare,Intermediate,"['medication', 'temperature', 'nurse']",Passive Voice,Moderate,Reading,Check the nurse.,What must be done with the nurse?,Check the nurse.,"['Do nothing with the nurse.', 'Ignore the nurse.']"
1509,"If it is damaged, clean the irrigation.",Agriculture,Intermediate,"['yield', 'irrigation', 'harvest']",Conditional Sentences,Moderate,Writing,Clean the irrigation.,What happens if the it is damaged?,Clean the irrigation.,"['Use a different irrigation.', 'Ignore the irrigation.']"
1510,the supervisor said to clean the secured.,Construction,Intermediate,"['harness', 'secured', 'safety']",Reported Speech,Moderate,Reading,Clean the secured.,What did the supervisor say?,Clean the secured.,"['Do nothing with the secured.', 'Use a different secured.']"
1511,the supervisor said to clean the service.,Hospitality,Beginner,"['service', 'clean', 'shift']",Reported Speech,Easy,Speaking,Clean the service.,What did the supervisor say?,Clean the service.,"['Use a different service.', 'Ignore the service.']"
1512,repair must be check.,Automotive,Beginner,"['inspection', 'engine', 'repair']",Passive Voice,Easy,Reading,Check the repair.,What must be done with the repair?,Check the repair.,"['Ignore the repair.', 'Do nothing with the repair.']"
1513,You should inspect the tools.,Construction,Beginner,"['safety', 'tools', 'equipment']",Modal Verbs,Easy,Speaking,Inspect the tools.,What is recommended to do with the tools?,Inspect the tools.,"['Ignore the tools.', 'Use a different tools.']"
1514,"If it is damaged, secure the checkout.",Retail,Intermediate,"['product', 'checkout', 'customer']",Conditional Sentences,Moderate,Writing,Secure the checkout.,What happens if the it is damaged?,Secure the checkout.,"['Do nothing with the checkout.', 'Use a different checkout.']"
1515,"If it is damaged, check the tools.",Construction,Advanced,"['secured', 'tools', 'equipment']",Conditional Sentences,Difficult,Reading,Check the tools.,What happens if the it is damaged?,Check the tools.,"['Ignore the tools.', 'Use a different tools.']"
1516,the supervisor said to check the repair.,Automotive,Intermediate,"['inspection', 'engine', 'repair']",Reported Speech,Moderate,Reading,Check the repair.,What did the supervisor say?,Check the repair.,"['Use a different repair.', 'Do nothing with the repair.']"
1517,"If it is damaged, clean the yield.",Agriculture,Intermediate,"['yield', 'harvest', 'irrigation']",Conditional Sentences,Moderate,Reading,Clean the yield.,What happens if the it is damaged?,Clean the yield.,"['Do nothing with the yield.', 'Use a different yield.']"
1518,You should secure the soil.,Agriculture,Beginner,"['irrigation', 'crop', 'soil']",Modal Verbs,Easy,Writing,Secure the soil.,What is recommended to do with the soil?,Secure the soil.,"['Ignore the soil.', 'Use a different soil.']"
1519,You should check the customer.,Retail,Beginner,"['sales', 'customer', 'checkout']",Modal Verbs,Easy,Writing,Check the customer.,What is recommended to do with the customer?,Check the customer.,"['Do nothing with the customer.', 'Ignore the customer.']"
